PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI_CO,AQI_NO2,AQI_O3,AQI_PM10,AQI_PM25,AQI_SO2,Overall_AQI,Mean_Feature,Median_Feature
13.6,10.46,10.56,16.92,12.68,13.6,48.9,0.7578,19.31818238636364,20.195652173913043,4.979817482515027,20.335497835497836,21.786480686695278,12.857142857142858,69.71673819742489,12.844,12.68
12.92,9.55,11.74,15.59,9.72,13.3,47.7,0.7255,18.18181846590909,17.355072463768117,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,11.904,11.74
14.02,9.39,11.4,15.55,10.74,11.9,54.0,0.7502,17.80303049242424,14.465408805031446,4.979817482515027,20.335497835497836,21.786480686695278,10.714285714285715,69.71673819742489,12.22,11.4
13.76,9.48,10.92,15.84,12.030000000000001,11.0,60.0,0.7867,17.329545539772727,11.320754716981133,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,12.406,12.030000000000001
12.72,8.36,12.05,14.9,11.1,11.2,59.6,0.7888,17.045454568181817,12.264150943396226,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,11.825999999999999,12.05
11.97,7.5,13.370000000000001,13.93,9.49,11.2,59.2,0.7848,16.85606058712121,12.578616352201259,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,11.252,11.97
11.85,6.9,8.18,13.33,7.33,11.3,56.8,0.7603,16.883116866883118,14.150943396226415,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,9.517999999999999,8.18
11.36,6.72,8.18,13.33,7.3,10.7,60.0,0.7702,17.32954536931818,18.775362318840582,4.979817482515027,20.335497835497836,21.786480686695278,27.85714285714286,69.71673819742489,9.377999999999998,8.18
10.94,6.09,8.18,12.76,6.2,10.7,59.7,0.7648,19.176136207386364,24.456521739130437,4.979817482515027,20.335497835497836,21.786480686695278,0.0,73.36956521739131,8.834,8.18
10.1,5.61,8.18,12.35,5.01,10.3,60.2,0.7517,21.590909005681816,27.65217391304348,4.979817482515027,20.335497835497836,21.786480686695278,0.0,82.95652173913044,8.25,8.18
10.11,5.2700000000000005,8.18,11.97,4.45,10.1,60.5,0.7465,22.44318159090909,25.166666666666668,4.979817482515027,20.335497835497836,21.786480686695278,57.857142857142854,75.5,7.996,8.18
10.66,5.12,8.18,11.82,4.22,11.0,56.2,0.7366,23.15340886363636,23.746376811594203,4.979817482515027,20.335497835497836,21.786480686695278,0.0,71.23913043478261,8.0,8.18
10.52,5.53,8.18,12.21,4.72,10.5,58.1,0.7353,23.57954532670454,22.681159420289855,4.979817482515027,20.335497835497836,21.786480686695278,60.0,69.71673819742489,8.232,8.18
11.44,6.67,8.18,13.39,7.3,10.2,59.6,0.7417,23.863636292613634,19.485507246376812,4.979817482515027,20.335497835497836,21.786480686695278,0.0,69.71673819742489,9.395999999999999,8.18
13.33,9.0,11.36,15.17,11.02,10.8,57.4,0.7408,24.147727272727277,19.840579710144926,4.979817482515027,20.335497835497836,21.786480686695278,32.142857142857146,69.71673819742489,11.975999999999999,11.36
13.51,9.6,10.790000000000001,15.83,10.28,10.5,60.6,0.7691,23.72159098011364,21.26086956521739,4.979817482515027,20.335497835497836,21.786480686695278,34.285714285714285,69.71673819742489,12.001999999999999,10.790000000000001
12.33,8.27,12.18,14.46,8.6,10.8,58.4,0.7552,21.73295464488636,22.32608695652174,4.979817482515027,20.335497835497836,21.786480686695278,36.42857142857143,69.71673819742489,11.168000000000001,12.18
11.790000000000001,7.62,13.280000000000001,13.620000000000001,6.71,10.5,57.9,0.7352,19.744318139204545,26.231884057971016,4.979817482515027,20.335497835497836,21.786480686695278,38.57142857142857,78.69565217391305,10.604000000000001,11.790000000000001
12.36,7.74,13.01,14.01,6.640000000000001,9.5,66.8,0.7951,19.46022734375,28.007246376811594,4.979817482515027,20.335497835497836,21.786480686695278,0.0,84.02173913043478,10.751999999999999,12.36
12.86,8.69,11.620000000000001,15.370000000000001,7.99,8.3,76.4,0.8393,20.170454786931817,31.913043478260864,4.979817482515027,20.335497835497836,21.786480686695278,38.57142857142857,95.7391304347826,11.306000000000001,11.620000000000001
13.71,10.34,9.83,17.3,10.370000000000001,8.0,81.1,0.8736,21.448863664772727,33.72972972972973,4.979817482515027,20.335497835497836,21.786480686695278,40.714285714285715,101.1891891891892,12.310000000000002,10.370000000000001
13.1,9.33,10.82,16.47,9.46,8.3,79.8,0.8778,24.147727272727277,34.42342342342342,4.979817482515027,20.335497835497836,21.786480686695278,42.85714285714286,103.27027027027027,11.836,10.82
12.92,9.120000000000001,11.03,15.91,9.57,9.7,71.2,0.8569,27.840909289772725,34.675675675675684,4.979817482515027,20.335497835497836,21.786480686695278,0.0,104.02702702702705,11.71,11.03
13.83,10.200000000000001,10.08,17.19,11.040000000000001,9.8,67.6,0.8185,30.96590936079545,34.42342342342342,4.979817482515027,20.335497835497836,21.786480686695278,32.142857142857146,103.27027027027027,12.468,11.040000000000001
15.81,13.19,7.99,20.830000000000002,14.09,10.3,64.2,0.8065,33.38068198863637,33.85585585585586,4.979817482515027,22.191558441558445,29.015557939914167,27.85714285714286,101.56756756756756,14.382000000000001,14.09
10.75,14.88,7.0200000000000005,14.562645979312647,17.04,9.7,69.3,0.8319,34.801136534090915,29.427536231884062,4.979817482515027,22.191558441558445,29.015557939914167,0.0,92.84978540772534,12.850529195862531,14.562645979312647
16.4,14.040000000000001,7.43,21.91,16.54,9.6,67.8,0.8133,35.937500269886364,26.94202898550725,4.979817482515027,22.191558441558445,29.015557939914167,25.714285714285715,92.84978540772534,15.264,16.4
13.13,10.76,9.57,17.07,12.85,9.1,64.0,0.7419,35.653409289772725,24.81159420289855,4.979817482515027,22.191558441558445,29.015557939914167,32.142857142857146,92.84978540772534,12.676,12.85
9.65,7.49,13.25,13.33,8.21,8.2,63.4,0.6905,35.22727299715909,23.39130434782609,4.979817482515027,22.191558441558445,29.015557939914167,0.0,92.84978540772534,10.386,9.65
9.13,6.29,8.18,12.52,5.5200000000000005,8.2,60.8,0.6657,32.95454569602273,23.746376811594203,4.979817482515027,22.191558441558445,29.015557939914167,32.142857142857146,92.84978540772534,8.328000000000001,8.18
10.8,8.05,12.540000000000001,13.75,8.16,8.3,58.5,0.6438,29.687499971590903,22.681159420289855,4.979817482515027,22.191558441558445,29.015557939914167,36.42857142857143,92.84978540772534,10.66,10.8
10.44,8.290000000000001,12.47,13.780000000000001,8.32,7.7,59.7,0.6308,27.55681815340909,23.39130434782609,4.979817482515027,22.191558441558445,29.015557939914167,0.0,92.84978540772534,10.66,10.44
9.88,7.18,13.96,13.040000000000001,6.92,7.1,61.8,0.6276,28.83522704545454,31.55797101449276,4.979817482515027,22.191558441558445,29.015557939914167,66.42857142857143,94.67391304347828,10.196000000000002,9.88
8.89,5.74,8.18,11.870000000000001,5.12,7.0,62.3,0.6261,30.539772571022723,33.333333333333336,4.979817482515027,22.191558441558445,29.015557939914167,64.28571428571429,100.0,7.960000000000001,8.18
8.31,5.0600000000000005,8.18,11.34,3.84,6.1,65.9,0.6248,30.82386355113636,31.913043478260864,4.979817482515027,22.191558441558445,29.015557939914167,62.142857142857146,95.7391304347826,7.346000000000001,8.18
