,Samplingpoint,Pollutant,Start,Value,Unit
1795,IT/SPO-IT0466A_00005_500,5,2003-01-01,50.0,ug.m-3
1796,IT/SPO-IT0466A_00005_500,5,2003-01-02,58.0,ug.m-3
1797,IT/SPO-IT0466A_00005_500,5,2003-01-03,89.0,ug.m-3
1798,IT/SPO-IT0466A_00005_500,5,2003-01-04,65.0,ug.m-3
1799,IT/SPO-IT0466A_00005_500,5,2003-01-05,22.0,ug.m-3
1800,IT/SPO-IT0466A_00005_500,5,2003-01-06,34.0,ug.m-3
1801,IT/SPO-IT0466A_00005_500,5,2003-01-07,49.0,ug.m-3
1802,IT/SPO-IT0466A_00005_500,5,2003-01-08,34.0,ug.m-3
1803,IT/SPO-IT0466A_00005_500,5,2003-01-09,51.0,ug.m-3
1804,IT/SPO-IT0466A_00005_500,5,2003-01-10,73.0,ug.m-3
1805,IT/SPO-IT0466A_00005_500,5,2003-01-11,62.0,ug.m-3
1806,IT/SPO-IT0466A_00005_500,5,2003-01-12,46.0,ug.m-3
1807,IT/SPO-IT0466A_00005_500,5,2003-01-13,101.0,ug.m-3
1808,IT/SPO-IT0466A_00005_500,5,2003-01-14,134.0,ug.m-3
1809,IT/SPO-IT0466A_00005_500,5,2003-01-15,167.0,ug.m-3
1810,IT/SPO-IT0466A_00005_500,5,2003-01-16,175.0,ug.m-3
1811,IT/SPO-IT0466A_00005_500,5,2003-01-17,181.0,ug.m-3
1812,IT/SPO-IT0466A_00005_500,5,2003-01-18,147.0,ug.m-3
1813,IT/SPO-IT0466A_00005_500,5,2003-01-19,120.0,ug.m-3
1814,IT/SPO-IT0466A_00005_500,5,2003-01-20,129.0,ug.m-3
1815,IT/SPO-IT0466A_00005_500,5,2003-01-21,44.0,ug.m-3
1816,IT/SPO-IT0466A_00005_500,5,2003-01-22,81.0,ug.m-3
1817,IT/SPO-IT0466A_00005_500,5,2003-01-23,110.0,ug.m-3
1818,IT/SPO-IT0466A_00005_500,5,2003-01-24,114.0,ug.m-3
1819,IT/SPO-IT0466A_00005_500,5,2003-01-25,73.0,ug.m-3
1820,IT/SPO-IT0466A_00005_500,5,2003-01-26,57.0,ug.m-3
1821,IT/SPO-IT0466A_00005_500,5,2003-01-27,107.0,ug.m-3
1822,IT/SPO-IT0466A_00005_500,5,2003-01-28,65.0,ug.m-3
