Samplingpoint,Pollutant,Start,Value,Unit
IT/SPO-IT0466A_06001_500,6001,2006-01-01,79.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-02,113.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-03,116.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-04,80.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-05,56.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-06,84.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-07,89.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-08,40.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-09,49.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-10,102.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-11,96.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-12,74.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-13,82.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-14,124.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-15,74.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-16,93.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-17,105.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-18,121.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-19,174.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-20,177.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-21,95.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-22,110.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-23,52.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-24,41.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-25,78.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-26,59.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-27,49.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-28,51.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-29,61.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-30,75.0,
IT/SPO-IT0466A_06001_500,6001,2006-01-31,90.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-01,119.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-02,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-03,141.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-04,140.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-05,56.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-06,42.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-07,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-08,102.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-09,97.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-10,33.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-11,38.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-12,41.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-13,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-14,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-15,102.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-16,123.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-17,126.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-18,56.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-19,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-20,31.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-21,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-22,27.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-23,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-24,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-25,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-26,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-27,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-02-28,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-01,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-02,61.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-03,61.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-04,80.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-05,36.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-06,12.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-07,9.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-08,26.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-09,47.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-10,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-11,17.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-12,14.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-13,22.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-14,30.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-15,44.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-16,57.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-17,91.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-18,66.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-19,50.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-20,67.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-21,67.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-22,78.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-23,60.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-24,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-25,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-26,0.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-27,22.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-28,37.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-29,17.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-30,17.0,
IT/SPO-IT0466A_06001_500,6001,2006-03-31,21.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-01,51.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-02,44.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-03,36.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-04,27.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-05,23.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-06,28.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-07,23.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-08,41.0,
IT/SPO-IT0466A_06001_500,6001,2006-04-09,44.0,
