PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Start,AQI_CO,AQI_NO2,AQI_O3,AQI_PM10,AQI_PM25,AQI_SO2,Overall_AQI,Overall_AQI_Smoothed
1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,2004-03-10,22.017044943181816,85.08695652173913,9.959634965030054,55.6030303030303,79.39055793991417,0.0,85.08695652173913,84.88524955492908
1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,2004-03-10,22.58522671875,85.08695652173913,9.959634965030054,55.6030303030303,79.39055793991417,5.714285714285714,85.08695652173913,84.39702491724792
1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,2004-03-10,23.437499474431814,78.69565217391305,9.959634965030054,55.6030303030303,79.39055793991417,7.142857142857143,79.39055793991417,83.4808657323119
1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,2004-03-10,23.01136318181818,53.130434782608695,9.959634965030054,55.6030303030303,79.39055793991417,0.0,79.39055793991417,82.53317501584438
1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,2004-03-10,22.585226889204545,43.39622641509434,9.959634965030054,55.6030303030303,79.39055793991417,0.0,79.39055793991417,81.5460698849624
1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,2004-03-10,22.30113607954545,32.075471698113205,9.959634965030054,55.6030303030303,79.39055793991417,7.142857142857143,79.39055793991417,80.60626205137775
1185.0,690.0,818.0,1333.0,733.0,11.3,56.8,0.7603,2004-03-11,22.017045269886363,28.30188679245283,9.959634965030054,54.10468319559229,77.5552087397581,7.142857142857143,77.5552087397581,79.93736676336043
1136.0,672.0,818.0,1333.0,730.0,10.7,60.0,0.7702,2004-03-11,21.30681799715909,16.037735849056602,9.959634965030054,54.10468319559229,77.5552087397581,0.0,77.5552087397581,79.71231205505325
1094.0,609.0,818.0,1276.0,620.0,10.7,59.7,0.7648,2004-03-11,20.31249992897727,12.264150943396226,9.959634965030054,54.10468319559229,77.5552087397581,5.714285714285714,77.5552087397581,79.63583917171341
1010.0,561.0,818.0,1235.0,501.0,10.3,60.2,0.7517,2004-03-11,19.03409088068182,12.264150943396226,9.959634965030054,54.10468319559229,77.5552087397581,4.285714285714286,77.5552087397581,79.55936628837357
1011.0,527.0,818.0,1197.0,445.0,10.1,60.5,0.7465,2004-03-11,17.47159085227273,12.264150943396226,9.959634965030054,54.10468319559229,77.5552087397581,4.285714285714286,77.5552087397581,79.48289340503374
1066.0,512.0,818.0,1182.0,422.0,11.0,56.2,0.7366,2004-03-11,16.903409076704545,13.20754716981132,9.959634965030054,54.10468319559229,77.5552087397581,0.0,77.5552087397581,79.4064205216939
1052.0,553.0,818.0,1221.0,472.0,10.5,58.1,0.7353,2004-03-11,16.761363579545456,23.58490566037736,9.959634965030054,54.10468319559229,77.5552087397581,4.285714285714286,77.5552087397581,79.32994763835407
1144.0,667.0,818.0,1339.0,730.0,10.2,59.6,0.7417,2004-03-11,17.045454389204544,56.32608695652174,9.959634965030054,54.10468319559229,77.5552087397581,0.0,77.5552087397581,79.25347475501422
1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,2004-03-11,18.323863451704543,81.8913043478261,9.959634965030054,54.10468319559229,77.5552087397581,0.0,81.8913043478261,79.35767252201056
1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,2004-03-11,21.306818025568184,101.37837837837836,9.959634965030054,54.10468319559229,77.5552087397581,10.0,101.37837837837836,80.27383170694657
1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,2004-03-11,24.00568161931818,102.13513513513512,9.959634965030054,54.10468319559229,77.5552087397581,0.0,102.13513513513512,81.2215224234141
1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,2004-03-11,26.136363607954543,97.86956521739133,9.959634965030054,54.10468319559229,77.5552087397581,5.714285714285714,97.86956521739133,81.99148105997565
1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,2004-03-11,27.556818323863634,91.47826086956522,9.959634965030054,54.10468319559229,77.5552087397581,10.0,91.47826086956522,82.49513534871112
1286.0,869.0,1162.0,1537.0,799.0,8.3,76.4,0.8393,2004-03-11,29.261363664772727,88.28260869565219,9.959634965030054,54.10468319559229,77.5552087397581,0.0,88.28260869565219,82.86563746353353
1371.0,1034.0,983.0,1730.0,1037.0,8.0,81.1,0.8736,2004-03-11,29.971590767045456,70.17391304347827,9.959634965030054,54.10468319559229,77.5552087397581,11.428571428571429,77.5552087397581,82.7891645801937
1310.0,933.0,1082.0,1647.0,946.0,8.3,79.8,0.8778,2004-03-11,30.965909019886364,75.5,9.959634965030054,54.10468319559229,77.5552087397581,14.285714285714286,77.5552087397581,82.71269169685385
1292.0,912.0,1103.0,1591.0,957.0,9.7,71.2,0.8569,2004-03-11,31.53409098011364,86.15217391304348,9.959634965030054,54.10468319559229,77.5552087397581,0.0,86.15217391304348,82.99442569573425
1383.0,1020.0,1008.0,1719.0,1104.0,9.8,67.6,0.8185,2004-03-11,31.81818196022727,88.28260869565219,9.959634965030054,54.10468319559229,77.5552087397581,0.0,88.28260869565219,83.36492781055667
1581.0,1319.0,799.0,2083.0,1409.0,10.3,64.2,0.8065,2004-03-11,31.53409098011364,93.6086956521739,9.959634965030054,54.10468319559229,77.5552087397581,11.428571428571429,93.6086956521739,83.72000027432479
1075.0,1488.0,702.0,1456.2645979312647,1704.0,9.7,69.3,0.8319,2004-03-11,32.10227258522728,89.34782608695653,9.959634965030054,54.10468319559229,77.5552087397581,11.428571428571429,89.34782608695653,83.89753650620884
1640.0,1404.0,743.0,2191.0,1654.0,9.6,67.8,0.8133,2004-03-11,32.81249985795454,85.08695652173913,9.959634965030054,54.10468319559229,77.5552087397581,14.285714285714286,85.08695652173913,84.1348864471182
1313.0,1076.0,957.0,1707.0,1285.0,9.1,64.0,0.7419,2004-03-11,33.38068181818182,95.7391304347826,9.959634965030054,54.10468319559229,77.5552087397581,0.0,95.7391304347826,84.81607696773773
965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,2004-03-11,34.659091051136365,96.80434782608695,9.959634965030054,54.10468319559229,77.5552087397581,0.0,96.80434782608695,85.54165154632825
913.0,629.0,818.0,1252.0,552.0,8.2,60.8,0.6657,2004-03-11,34.94318203125,87.21739130434783,9.959634965030054,54.10468319559229,77.5552087397581,12.857142857142858,87.21739130434783,85.86776960317967
1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,2004-03-12,34.375000071022725,80.82608695652175,9.959634965030054,54.17592592592592,77.25250357653792,14.285714285714286,80.82608695652175,86.00405619554482
