DateTime,Actual_PT08.S1(CO),Predicted_PT08.S1(CO),Actual_PT08.S2(NMHC),Predicted_PT08.S2(NMHC),Actual_PT08.S3(NOx),Predicted_PT08.S3(NOx),Actual_PT08.S4(NO2),Predicted_PT08.S4(NO2),Actual_PT08.S5(O3),Predicted_PT08.S5(O3)
2005-01-16 15:00:00,833.0,843.97,584.0,651.75,1144.0,1064.91,821.0,878.59,463.0,610.28
2005-01-16 16:00:00,877.0,801.43,642.0,556.05,1037.0,1083.76,859.0,857.67,565.0,481.57
2005-01-16 17:00:00,892.0,851.85,668.0,645.96,1017.0,1062.98,872.0,882.49,632.0,587.14
2005-01-16 18:00:00,899.0,885.07,674.0,714.46,1002.0,988.93,893.0,931.13,691.0,679.41
2005-01-16 19:00:00,1008.0,876.61,861.0,684.93,839.0,971.58,977.0,926.24,943.0,699.88
2005-01-16 20:00:00,1013.0,995.99,873.0,881.99,820.0,829.84,984.0,1030.54,985.0,987.85
2005-01-16 21:00:00,912.0,1006.92,730.0,870.41,959.0,834.53,893.0,1046.99,821.0,1020.86
2005-01-16 22:00:00,907.0,931.22,705.0,758.41,995.0,960.03,880.0,951.65,767.0,875.46
2005-01-16 23:00:00,953.0,922.38,771.0,752.69,905.0,952.93,936.0,954.35,895.0,834.06
2005-01-17 00:00:00,916.0,942.46,701.0,768.69,954.0,938.45,899.0,925.49,791.0,898.8
2005-01-17 01:00:00,894.0,936.7,682.0,755.79,991.0,938.7,881.0,969.94,770.0,874.94
2005-01-17 02:00:00,895.0,898.79,648.0,715.36,1001.0,993.83,875.0,939.84,839.0,827.65
2005-01-17 03:00:00,845.0,887.73,534.0,665.83,1168.0,1047.1,833.0,909.76,721.0,832.88
2005-01-17 04:00:00,837.0,849.4,512.0,645.24,1228.0,1098.98,836.0,897.89,720.0,770.65
2005-01-17 05:00:00,795.0,848.96,504.0,631.83,1258.0,1101.32,840.0,896.7,682.0,768.81
2005-01-17 06:00:00,874.0,861.07,552.0,636.02,1162.0,1066.66,857.0,889.19,723.0,756.14
2005-01-17 07:00:00,920.0,875.46,667.0,666.56,1005.0,1046.43,916.0,930.68,813.0,793.72
2005-01-17 08:00:00,1257.0,942.48,1176.0,726.68,612.0,943.53,1357.0,987.53,1365.0,879.48
2005-01-17 09:00:00,1222.0,1202.75,1239.0,1129.38,574.0,644.72,1346.0,1351.73,1472.0,1337.35
2005-01-17 10:00:00,1196.0,1258.39,1139.0,1202.55,617.0,615.45,1271.0,1369.77,1497.0,1487.74
2005-01-17 11:00:00,1214.0,1270.26,1153.0,1152.43,612.0,607.41,1244.0,1313.0,1626.0,1553.32
2005-01-17 12:00:00,1149.0,1242.3,1096.0,1150.59,639.0,617.51,1219.0,1263.69,1476.0,1593.8
2005-01-17 13:00:00,1166.0,1197.59,1134.0,1088.84,603.0,658.8,1227.0,1232.18,1531.0,1452.31
2005-01-17 14:00:00,1170.0,1209.87,1138.0,1113.29,611.0,640.72,1233.0,1246.88,1503.0,1512.88
2005-01-17 15:00:00,1176.0,1216.38,1209.0,1117.61,588.0,638.42,1264.0,1258.15,1488.0,1492.63
2005-01-17 16:00:00,1147.0,1214.79,1158.0,1163.36,615.0,637.81,1200.0,1303.04,1435.0,1444.36
2005-01-17 17:00:00,1294.0,1116.71,1330.0,1071.7,535.0,741.65,1363.0,1180.49,1725.0,1328.27
2005-01-17 18:00:00,1075.0,1303.37,923.0,1231.32,374.0,548.64,1964.0,1491.48,983.0,1540.42
2005-01-17 19:00:00,1615.0,1089.52,923.0,1060.93,384.0,360.06,1811.0,1775.5340874207543,983.0,1003.0
2005-01-17 20:00:00,1256.0,1349.4,1201.0,1266.07,563.0,539.45,1251.0,1628.7605839172506,1699.0,1509.52
2005-01-17 21:00:00,1205.0,1340.69,1098.0,1238.9,610.0,564.02,1170.0,1367.57,1587.0,1572.57
2005-01-17 22:00:00,1087.0,1234.71,926.0,1105.47,715.0,635.38,1053.0,1242.8,1390.0,1533.49
2005-01-17 23:00:00,1092.0,1055.12,875.0,901.51,751.0,812.72,1010.0,1030.21,1347.0,1240.25
2005-01-18 00:00:00,1039.0,1096.91,845.0,851.32,775.0,796.8,993.0,1011.78,1268.0,1254.68
2005-01-18 01:00:00,1001.0,1045.3,762.0,829.45,850.0,833.43,948.0,1011.71,1155.0,1190.75
2005-01-18 02:00:00,925.0,1051.04,677.0,819.13,958.0,830.99,901.0,984.22,1024.0,1195.65
2005-01-18 03:00:00,880.0,933.45,613.0,740.19,1016.0,945.56,878.0,932.31,968.0,972.57
2005-01-18 04:00:00,873.0,879.67,592.0,682.71,1076.0,1060.42,869.0,914.2,915.0,876.61
2005-01-18 05:00:00,880.0,877.56,618.0,662.23,1023.0,1070.11,893.0,899.75,928.0,862.19
2005-01-18 06:00:00,950.0,879.08,680.0,661.17,936.0,1064.18,914.0,906.12,1028.0,856.5
2005-01-18 07:00:00,1039.0,940.85,855.0,731.8,783.0,934.27,1025.0,931.72,1210.0,976.39
2005-01-18 08:00:00,1284.0,1049.49,1204.0,850.74,599.0,817.27,1337.0,1036.71,1531.0,1189.41
2005-01-18 09:00:00,1350.0,1278.13,1305.0,1149.45,509.0,601.7,1383.0,1355.51,1745.0,1434.67
2005-01-18 10:00:00,1476.0,1344.98,1428.0,1236.95,477.0,538.86,1536.0,1457.47,1974.0,1493.83
2005-01-18 11:00:00,1342.0,1405.3516583249916,1215.0,1307.7976687798907,542.0,540.6946802357913,1332.0,1595.025875875876,1806.0,1671.025306417529
2005-01-18 12:00:00,1488.0,1334.06,1336.0,1188.24,479.0,575.99,1483.0,1367.44,1985.0,1477.56
2005-01-18 13:00:00,1557.0,1370.4799799799796,1432.0,1248.5684050717384,445.0,544.1392325658992,1605.0,1532.5443977310645,983.0,1508.108735402069
2005-01-18 14:00:00,1610.0,1410.5783316649984,1502.0,1266.0015337559782,420.0,476.24493604715826,1697.0,1617.7726459793128,983.0,1235.0990612835058
2005-01-18 15:00:00,1583.0,1329.0366633299966,1457.0,1285.5230675119562,431.0,476.6898720943165,1640.0,1743.7905839172506,1994.0,1173.8481225670114
